party,state,votes,constituency,candidate
Bharatiya Janata Party,Assam,53975,Ratabari,KRIPANATH MALLAH
Indian National Congress,Assam,29449,Ratabari,AKHIL RANJAN TALUKDAR
All India United Democratic Front,Assam,23926,Ratabari,RAJIB BISWAS
Independent,Assam,908,Ratabari,SETUL CHANDRA NAMASUDRA
Samajwadi Party,Assam,542,Ratabari,NIRMAL MALLICK
Independent,Assam,487,Ratabari,PRABIR BARDHAN
Independent,Assam,419,Ratabari,SANJOY KUMAR MALLAH
Independent,Assam,380,Ratabari,KALIPADA BISWAS
Independent,Assam,370,Ratabari,MANILAL RABIDAS
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Assam,354,Ratabari,SATYENDRA NAMASUDRA
Independent,Assam,267,Ratabari,NIRANJAN MALLAH
Independent,Assam,247,Ratabari,RANJU ROY
Independent,Assam,204,Ratabari,UMESH MALAH
Independent,Assam,191,Ratabari,AMULYA NAMASUDRA
None of the Above,Assam,889,Ratabari,None of the Above
All India United Democratic Front,Assam,41647,Hailakandi,ANWAR HUSSAIN LASKAR
Bharatiya Janata Party,Assam,39039,Hailakandi,SOUMYAJIT DUTTA CHOUDHURY
Independent,Assam,15633,Hailakandi,ZAKIR HUSSAIN LASKAR
Indian National Congress,Assam,9287,Hailakandi,ANAM UDDIN LASKAR
Independent,Assam,1119,Hailakandi,HAJI SALIM UDDIN BARBHUIYA
Independent,Assam,1104,Hailakandi,PREMRAJ GOALA
Samajwadi Party,Assam,602,Hailakandi,SAMIR UDDIN LASKAR
Independent,Assam,579,Hailakandi,FAKRUL ALAM MAZARBHUIYA
Independent,Assam,430,Hailakandi,ALI HUSSAIN  MIRA
Independent,Assam,376,Hailakandi,NIREN DAS
Nationalist Congress Party,Assam,372,Hailakandi,AJIT KUMAR PAUL
Independent,Assam,366,Hailakandi,LUTFUR RAHMAN LASKAR
Independent,Assam,363,Hailakandi,AMIT KUMAR DEB
Bharatiya Janata Party,Assam,46544,Patharkandi,KRISHNENDU PAUL
All India United Democratic Front,Assam,37276,Patharkandi,DEBENDRA KUMAR SINHA
Indian National Congress,Assam,32048,Patharkandi,MONI LAL GOWALA
Communist Party of India  (Marxist),Assam,1638,Patharkandi,KRIPESH RANJAN DASGUPTA
Independent,Assam,244,Hailakandi,MITUZZAMAN LASKAR
Independent,Assam,228,Hailakandi,PARBEJ KHASRU LASKAR
Independent,Assam,211,Hailakandi,AMAR CHAND BHOWMIK
Independent,Assam,199,Hailakandi,BURHAN UDDIN BARBHUIYA
Independent,Assam,180,Hailakandi,SAHARUZZAMAN LASKAR
Independent,Assam,176,Hailakandi,ABUL HUSSAIN BARBHUIYA
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Assam,163,Hailakandi,SUSHIL PAUL
Indian National Congress,Assam,45289,Karimganj North,KAMALAKHYA DEY PURKAYASTHA
Bharatiya Janata Party,Assam,44821,Karimganj North,MISSION RANJAN DAS
All India United Democratic Front,Assam,34207,Karimganj North,SAHABUL ISLAM CHOUDHURY
Independent,Assam,1704,Karimganj North,NAZRUL ISLAM CHOUDHURY
Independent,Assam,1052,Karimganj North,ABDUL AHAD CHOUDHURY
Independent,Assam,708,Karimganj North,MOIN UDDIN
Independent,Assam,892,Patharkandi,KABIR AHMED
Independent,Assam,743,Patharkandi,RAHIM UDDIN AHMED
Samajwadi Party,Assam,599,Patharkandi,MISBAQUE UDDIN
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Assam,509,Patharkandi,DEBANGSHU NATH
Independent,Assam,501,Patharkandi,ASAD UDDIN AHMED
All India United Democratic Front,Assam,58060,Karimganj South,AZIZ AHMED KHAN
Indian National Congress,Assam,53644,Karimganj South,SIDDEQUE AHMED
Bharatiya Janata Party,Assam,11861,Karimganj South,SIPRA GOON
Independent,Assam,815,Karimganj South,MONARUL HAQUE
Independent,Assam,158,Hailakandi,ADHIR CHANDA
Independent,Assam,122,Hailakandi,AJAY KUMAR ROY
Independent,Assam,114,Hailakandi,SANKAR CHAKROBARTY
None of the Above,Assam,281,Hailakandi,None of the Above
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Assam,468,Karimganj North,ARUNANGSHU BHATTACHARJEE
Independent,Assam,420,Karimganj North,MUHAMMAD MUHSIN ALAM
Independent,Assam,265,Karimganj North,SIBIR AHMED
Bharatiya Gana Parishad,Assam,253,Karimganj North,BIKASH KANTI ROY
Independent,Assam,241,Karimganj North,DEEPAN NATH
Independent,Assam,237,Karimganj North,KAYSAR AHMED CHOUDHURY
