status,leading party,leading candidate,trailing party,trailing candidate,constituency,margin,const. no.
Result Declared,Asom Gana Parishad,BHABENDRA NATH BHARALI,Indian National Congress,AROTI HAZARIKA KACHARI,Dergaon,16272                                             ,97
Result Declared,Bharatiya Janata Party,NABA KUMAR DOLEY,Indian National Congress,BHARAT CHANDRA NARAH,Dhakuakhana,24542                                             ,112
Result Declared,Bharatiya Janata Party,CHANDRA MOHAN PATOWARY,Indian National Congress,NILAMANI SEN DEKA,Dharmapur,33943                                             ,61
Result Declared,Bharatiya Janata Party,ASHOK  SINGHAL,Indian National Congress,HABUL CHAKRABORTY,Dhekiajuli,34995                                             ,71
Result Declared,Bharatiya Janata Party,PRADAN BARUAH,Indian National Congress,SUMITRA DOLEY PATIR,Dhemaji,19121                                             ,113
Result Declared,All India United Democratic Front,AMINUL ISLAM,Indian National Congress,ANWAR HUSSAIN,Dhing,24553                                             ,83
Result Declared,Bharatiya Janata Party,PARIMAL SUKLABAIDYA,Indian National Congress,GIRINDRA MALLIK,Dholai,26837                                             ,11
Result Declared,All India United Democratic Front,NAJRUL HOQUE,Independent,NAZIBUL UMAR,Dhubri,24086                                             ,23
Result Declared,Bharatiya Janata Party,PRASANTA PHUKAN,Indian National Congress,CHANDRA KANTA BARUA,Dibrugarh,27374                                             ,116
Result Declared,Bharatiya Janata Party,SUREN PHUKAN,Indian National Congress,GAUTAM DHANOWAR,Digboi,14293                                             ,123
Result Declared,All India United Democratic Front,AZIZ AHMED KHAN,Indian National Congress,SIDDEQUE AHMED,Karimganj South,4416                                              ,4
Result Declared,Bharatiya Janata Party,AMAR CHAND JAIN,All India United Democratic Front,KHALIL UDDIN MAZUMDER,Katigorah,8808                                              ,15
Result Declared,All India United Democratic Front,SUZAM UDDIN LASKAR,Indian National Congress,GAUTAM ROY,Katlichera,15084                                             ,7
Result Declared,Bharatiya Janata Party,MRINAL SAIKIA,Indian National Congress,BISMITA GOGOI,Khumtai,16874                                             ,96
Result Declared,Bodoland Peoples Front,PRAMILA RANI BRAHMA,Independent,PRATIBHA BRAHMA,Kokrajhar East,40091                                             ,30
Result Declared,Bodoland Peoples Front,RABIRAM NARZARY,All India United Democratic Front,DAHIT CHANDRA BRAHMA,Kokrajhar West,17340                                             ,29
Result Declared,Indian National Congress,DR. NAZRUL ISLAM,All India United Democratic Front,SIDDIQUE AHMED,Laharighat,5806                                              ,81
Result Declared,Bharatiya Janata Party,RITUPARNA BARUAH,Indian National Congress,PRITHIBI MAJHI,Lahowal,19599                                             ,117
Result Declared,Asom Gana Parishad,UTPAL DUTTA,Indian National Congress,JOY PRAKASH DAS,Lakhimpur,4155                                              ,111
Result Declared,Indian National Congress,RAJDEEP GOALA,Bharatiya Janata Party,THOIBA SINGHA,Lakhipur,24367                                             ,13
Result Declared,Bharatiya Janata Party,PROMOD BORTHAKUR,Indian National Congress,NURJAMAL SARKAR,Biswanath,10120                                             ,76
Result Declared,Bharatiya Janata Party,NUMAL MOMIN,Indian National Congress,KLENGDOON ENGTI,Bokajan,4744                                              ,17
Result Declared,Asom Gana Parishad,ATUL BORA,Indian National Congress,ARUN PHUKAN,Bokakhat,40193                                             ,93
Result Declared,Bharatiya Janata Party,SUM RONGHANG,Indian National Congress,BIDYA SING ENGLENG,Diphu,28236                                             ,19
Result Declared,Bharatiya Janata Party,ATUL BORA,Indian National Congress,AKON BORA,Dispur ,130197                                            ,52
Result Declared,Indian National Congress,DURGA BHUMIJ,Bharatiya Janata Party,DILIP MORAN,Doom Dooma,782                                               ,125
Result Declared,Indian National Congress,NANDITA DAS,Asom Gana Parishad,JYOTI PRASAD DAS,Boko SC,17594                                             ,48
Result Declared,Asom Gana Parishad,PHANI BHUSAN CHOUDHURY,Indian National Congress,SHANKAR PRASAD RAY,Bongaigaon,31320                                             ,32
Result Declared,Bharatiya Janata Party,BINOD HAZARIKA,Indian National Congress,RAJU SAHU,Chabua ,30754                                             ,121
Result Declared,Bodoland Peoples Front,THANESWAR BASUMATARY,Independent,SUJAN DAS,Chapaguri,1481                                              ,63
Result Declared,Indian National Congress,REKIBUDDIN AHMED,Asom Gana Parishad,DR. KAMALA KANTA KALITA,Chaygaon,7821                                              ,49
Result Declared,Bharatiya Janata Party,DIPAK KUMAR RABHA,Indian National Congress,SIBCHARAN BASUMATARY,Dudhnai,28667                                             ,36
Result Declared,Bharatiya Janata Party,TERASH GOWALLA,Indian National Congress,DHRUBA JYOTI GOGOI,Duliajan,17086                                             ,118
Result Declared,Bharatiya Janata Party,SIDDHARTHA BHATTACHARYA,Indian National Congress,BOBBEETA SHARMA,Gauhati East,96637                                             ,53
Result Declared,Asom Gana Parishad,RAMENDRA NARAYAN KALITA,Indian National Congress,DR. JURY SHARMA BORDOLOI,Gauhati West,89910                                             ,54
Result Declared,All India United Democratic Front,NIJANUR RAHMAN,Bodoland Peoples Front,BANENDRA KUMAR MUSHAHARY,Gauripur,19911                                             ,24
Result Declared,Indian National Congress,SUKUR ALI AHMED,All India United Democratic Front,MONOWARA KHATUN,Chenga,23357                                             ,47
Result Declared,Indian National Congress,ILIAS ALI,All India United Democratic Front,MAZIBUR RAHMAN,Dalgaon,2320                                              ,68
Result Declared,Indian National Congress,ABUL KALAM RASHEED ALAM,Bharatiya Janata Party,GAURANGA PRASAD DAS,Goalpara East,2581                                              ,37
Result Declared,Indian National Congress,ABDUR RASHID MANDAL,All India United Democratic Front,SHEIKH SHAH ALAM,Goalpara West,24339                                             ,38
Result Declared,Bharatiya Janata Party,SIBU MISRA,Indian National Congress,NETRA RANJAN MAHANTA,Lumding,30400                                             ,92
Result Declared,Bharatiya Janata Party,JOGEN MOHAN,Indian National Congress,SURUJ DEHINGIA,Mahmara,14325                                             ,105
Result Declared,Bodoland Peoples Front,CHARAN BORO,All India United Democratic Front,TEHARU GOUR,Majbat,26218                                             ,70
Result Declared,Bharatiya Janata Party,PALLAB LOCHAN DAS,Indian National Congress,BHIMANANDA TANTI,Rangapara,22991                                             ,74
Result Declared,Bharatiya Janata Party,BHABESH KALITA,Indian National Congress,GHANASHYAM KALITA,Rangia,32067                                             ,57
Result Declared,Bharatiya Janata Party,KRIPANATH MALLAH,Indian National Congress,AKHIL RANJAN TALUKDAR,Ratabari,24526                                             ,1
Result Declared,Indian National Congress,NURUL HUDA,All India United Democratic Front,NURUL AMIN CHOWDHURY,Rupohihat,21844                                             ,85
Result Declared,Bharatiya Janata Party,SARBANANDA SONOWAL,Indian National Congress,RAJIB LOCHAN PEGU,Majuli,18923                                             ,99
Result Declared,Bharatiya Janata Party,GURUJYOTI DAS,Indian National Congress,BASANTA DAS,Mangaldoi,22045                                             ,67
Result Declared,Indian National Congress,DR. MOTIUR ROHMAN MONDAL,All India United Democratic Front,MD. AMINUL ISLAM,Mankachar ,4313                                              ,21
Result Declared,Bharatiya Janata Party,BHASKAR SHARMA,Indian National Congress,PRADYUT BORDOLOI,Margherita,22744                                             ,124
Result Declared,Indian National Congress,RUPJYOTI KURMI,Nationalist Congress Party,ALOK KUMAR GHOSH,Mariani,1793                                              ,101
Result Declared,Bharatiya Janata Party,BOLIN CHETIA,Indian National Congress,BIRINCHI NEOG,Sadiya,6566                                              ,126
Result Declared,Indian National Congress,WAZED ALI CHOUDHURY,All India United Democratic Front,BADRUDDIN AJMAL,Salmara South,16723                                             ,22
Result Declared,Indian National Congress,RAKIBUL HUSSAIN,Bharatiya Janata Party,JITU GOSWAMI,Samaguri,14515                                             ,88
