status,votes,candidate,state,party,constituency
Result Declared  ,53975,KRIPANATH MALLAH,Assam,Bharatiya Janata Party,Ratabari
Result Declared  ,29449,AKHIL RANJAN TALUKDAR,Assam,Indian National Congress,Ratabari
Result Declared  ,23926,RAJIB BISWAS,Assam,All India United Democratic Front,Ratabari
Result Declared  ,908,SETUL CHANDRA NAMASUDRA,Assam,Independent,Ratabari
Result Declared  ,542,NIRMAL MALLICK,Assam,Samajwadi Party,Ratabari
Result Declared  ,487,PRABIR BARDHAN,Assam,Independent,Ratabari
Result Declared  ,419,SANJOY KUMAR MALLAH,Assam,Independent,Ratabari
Result Declared  ,380,KALIPADA BISWAS,Assam,Independent,Ratabari
Result Declared  ,370,MANILAL RABIDAS,Assam,Independent,Ratabari
Result Declared  ,45289,KAMALAKHYA DEY PURKAYASTHA,Assam,Indian National Congress,Karimganj North
Result Declared  ,44821,MISSION RANJAN DAS,Assam,Bharatiya Janata Party,Karimganj North
Result Declared  ,34207,SAHABUL ISLAM CHOUDHURY,Assam,All India United Democratic Front,Karimganj North
Result Declared  ,1704,NAZRUL ISLAM CHOUDHURY,Assam,Independent,Karimganj North
Result Declared  ,354,SATYENDRA NAMASUDRA,Assam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Ratabari
Result Declared  ,267,NIRANJAN MALLAH,Assam,Independent,Ratabari
Result Declared  ,247,RANJU ROY,Assam,Independent,Ratabari
Result Declared  ,204,UMESH MALAH,Assam,Independent,Ratabari
Result Declared  ,191,AMULYA NAMASUDRA,Assam,Independent,Ratabari
Result Declared  ,889,None of the Above,Assam,None of the Above,Ratabari
Result Declared  ,1052,ABDUL AHAD CHOUDHURY,Assam,Independent,Karimganj North
Result Declared  ,708,MOIN UDDIN,Assam,Independent,Karimganj North
Result Declared  ,468,ARUNANGSHU BHATTACHARJEE,Assam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Karimganj North
Result Declared  ,420,MUHAMMAD MUHSIN ALAM,Assam,Independent,Karimganj North
Result Declared  ,265,SIBIR AHMED,Assam,Independent,Karimganj North
Result Declared  ,253,BIKASH KANTI ROY,Assam,Bharatiya Gana Parishad,Karimganj North
Result Declared  ,241,DEEPAN NATH,Assam,Independent,Karimganj North
Result Declared  ,237,KAYSAR AHMED CHOUDHURY,Assam,Independent,Karimganj North
Result Declared  ,161,AMJAD HUSSAIN,Assam,Independent,Karimganj North
Result Declared  ,144,TAJ UDDIN CHOUDHURY,Assam,Independent,Karimganj North
Result Declared  ,137,ARUN KUMAR DAS,Assam,Independent,Karimganj North
Result Declared  ,674,None of the Above,Assam,None of the Above,Karimganj North
Result Declared  ,46544,KRISHNENDU PAUL,Assam,Bharatiya Janata Party,Patharkandi
Result Declared  ,37276,DEBENDRA KUMAR SINHA,Assam,All India United Democratic Front,Patharkandi
Result Declared  ,32048,MONI LAL GOWALA,Assam,Indian National Congress,Patharkandi
Result Declared  ,1638,KRIPESH RANJAN DASGUPTA,Assam,Communist Party of India  (Marxist),Patharkandi
Result Declared  ,892,KABIR AHMED,Assam,Independent,Patharkandi
Result Declared  ,743,RAHIM UDDIN AHMED,Assam,Independent,Patharkandi
Result Declared  ,599,MISBAQUE UDDIN,Assam,Samajwadi Party,Patharkandi
Result Declared  ,509,DEBANGSHU NATH,Assam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Patharkandi
Result Declared  ,501,ASAD UDDIN AHMED,Assam,Independent,Patharkandi
Result Declared  ,495,NITAI DEY,Assam,Independent,Patharkandi
Result Declared  ,419,NIHAR RANJAN DEB NATH,Assam,Independent,Patharkandi
Result Declared  ,1030,None of the Above,Assam,None of the Above,Patharkandi
Result Declared  ,50676,SUZAM UDDIN LASKAR,Assam,All India United Democratic Front,Katlichera
Result Declared  ,35592,GAUTAM ROY,Assam,Indian National Congress,Katlichera
Result Declared  ,32164,RAJ KUMAR DAS,Assam,Bharatiya Janata Party,Katlichera
Result Declared  ,898,MULNEILAL HRANGKHOL,Assam,Nationalist Congress Party,Katlichera
Result Declared  ,782,SUZAM UDDIN LASKAR,Assam,Independent,Katlichera
Result Declared  ,755,ANIL NATH,Assam,Samajwadi Party,Katlichera
Result Declared  ,661,BHASKAR DEB,Assam,Independent,Katlichera
Result Declared  ,567,BACHCHU PAUL,Assam,Independent,Katlichera
Result Declared  ,429,MINNOTULLA CHOUDHURY,Assam,Independent,Katlichera
Result Declared  ,383,MOHAN DEB,Assam,Independent,Katlichera
Result Declared  ,364,ASHIK AHMED LASKAR,Assam,Independent,Katlichera
Result Declared  ,329,BAPPA PURKAYASTHA,Assam,Independent,Katlichera
Result Declared  ,300,NOROKANTO DAS,Assam,Independent,Katlichera
Result Declared  ,931,None of the Above,Assam,None of the Above,Katlichera
Result Declared  ,68694,PARIMAL SUKLABAIDYA,Assam,Bharatiya Janata Party,Dholai
Result Declared  ,41857,GIRINDRA MALLIK,Assam,Indian National Congress,Dholai
Result Declared  ,13382,LALTA PROSAD MALA,Assam,All India United Democratic Front,Dholai
Result Declared  ,1146,GOUR CHANDRA DAS,Assam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Dholai
Result Declared  ,1114,NIHAR RANJAN DAS,Assam,Independent,Dholai
Result Declared  ,2110,None of the Above,Assam,None of the Above,Dholai
Result Declared  ,41647,ANWAR HUSSAIN LASKAR,Assam,All India United Democratic Front,Hailakandi
